time,sym,price,venue,uid
08:00:02.199,IBM,53.8449109,NDQ,2020.12.090
08:00:04.933,AAPL,70.5890512,NYSE,2020.12.091
08:00:06.362,AAPL,23.4356015,NDQ,2020.12.092
08:00:11.084,GOOG,87.9379051,NYSE,2020.12.093
08:00:12.775,GOOG,34.0412633,NDQ,2020.12.094
08:00:19.881,IBM,5.14289464,NDQ,2020.12.095
08:00:24.333,MSFT,21.6367798,NDQ,2020.12.096
08:00:24.338,AAPL,43.3723227,NDQ,2020.12.097
08:00:33.873,GOOG,16.2215319,NYSE,2020.12.098
08:00:37.410,IBM,65.0760003,NYSE,2020.12.099
08:00:39.431,AAPL,92.0972981,NDQ,2020.12.0910
08:00:40.542,GOOG,31.7834889,NDQ,2020.12.0911
08:00:42.494,MSFT,20.368525,NYSE,2020.12.0912
08:00:44.619,MSFT,81.5102725,NDQ,2020.12.0913
08:00:46.482,AAPL,32.4762035,NDQ,2020.12.0914
08:00:47.612,IBM,24.6348354,NYSE,2020.12.0915
08:00:48.025,AAPL,4.86760114,NDQ,2020.12.0916
08:00:49.505,MSFT,62.4903368,NDQ,2020.12.0917
08:00:57.583,GOOG,70.3747414,NDQ,2020.12.0918
08:00:58.214,GOOG,74.4711315,NDQ,2020.12.0919
08:00:59.185,IBM,40.3527306,NYSE,2020.12.0920
08:01:02.231,AAPL,10.2054104,NDQ,2020.12.0921
08:01:03.443,GOOG,94.296651,NDQ,2020.12.0922
08:01:08.985,MSFT,44.3634227,NYSE,2020.12.0923
08:01:10.515,AAPL,23.8499611,NYSE,2020.12.0924
08:01:14.061,IBM,16.7225615,NYSE,2020.12.0925
08:01:21.196,GOOG,13.0256837,NYSE,2020.12.0926
08:01:21.520,IBM,27.0489306,NYSE,2020.12.0927
08:01:25.295,GOOG,34.8597087,NDQ,2020.12.0928
08:01:26.104,IBM,6.67215195,NYSE,2020.12.0929
08:01:32.215,IBM,45.1342214,NDQ,2020.12.0930
08:01:32.322,MSFT,61.5800828,NDQ,2020.12.0931
08:01:32.529,GOOG,72.5993539,NDQ,2020.12.0932
08:01:34.810,MSFT,20.0554991,NYSE,2020.12.0933
08:01:36.131,GOOG,40.4390114,NDQ,2020.12.0934
08:01:36.554,AAPL,94.8917111,NDQ,2020.12.0935
08:01:40.523,GOOG,61.403028,NYSE,2020.12.0936
08:01:51.764,AAPL,57.0819966,NDQ,2020.12.0937
08:01:52.223,IBM,84.4570337,NDQ,2020.12.0938
08:01:53.757,GOOG,81.3168501,NYSE,2020.12.0939
08:02:04.393,IBM,4.53048004,NDQ,2020.12.0940
08:02:10.903,AAPL,27.80668,NYSE,2020.12.0941
08:02:16.381,AAPL,65.9461734,NDQ,2020.12.0942
08:02:18.245,IBM,52.4564128,NYSE,2020.12.0943
08:02:23.396,AAPL,51.2390676,NDQ,2020.12.0944
08:02:23.634,GOOG,84.6863754,NDQ,2020.12.0945
08:02:28.922,IBM,95.9626365,NYSE,2020.12.0946
08:02:31.253,IBM,86.3367807,NYSE,2020.12.0947
08:02:31.513,IBM,0.636908622,NYSE,2020.12.0948
08:02:41.416,IBM,71.7636114,NYSE,2020.12.0949
08:02:45.172,MSFT,29.2881045,NYSE,2020.12.0950
08:02:45.586,AAPL,78.1929793,NDQ,2020.12.0951
08:02:48.064,GOOG,1.69533442,NYSE,2020.12.0952
08:02:50.948,MSFT,15.8611427,NDQ,2020.12.0953
08:02:51.468,AAPL,28.7562941,NYSE,2020.12.0954
08:02:55.115,GOOG,59.4911513,NYSE,2020.12.0955
08:03:00.652,IBM,37.7725078,NYSE,2020.12.0956
08:03:00.974,GOOG,12.0782495,NDQ,2020.12.0957
08:03:05.281,IBM,8.17762334,NDQ,2020.12.0958
08:03:06.782,GOOG,9.1679859,NDQ,2020.12.0959
08:03:08.743,IBM,17.1987292,NYSE,2020.12.0960
08:03:16.665,MSFT,4.73174402,NYSE,2020.12.0961
08:03:25.707,IBM,81.3762568,NDQ,2020.12.0962
08:03:32.019,GOOG,59.5550776,NYSE,2020.12.0963
08:03:38.425,GOOG,36.6840793,NDQ,2020.12.0964
08:03:38.895,MSFT,91.6292144,NYSE,2020.12.0965
08:03:38.934,GOOG,54.2414766,NYSE,2020.12.0966
08:03:42.154,AAPL,65.682504,NYSE,2020.12.0967
08:03:45.053,IBM,8.40034925,NDQ,2020.12.0968
08:03:45.417,IBM,75.2976971,NYSE,2020.12.0969
08:03:46.959,MSFT,79.7316467,NYSE,2020.12.0970
08:03:55.428,GOOG,89.1481783,NYSE,2020.12.0971
08:03:55.881,AAPL,55.5102041,NDQ,2020.12.0972
08:03:56.552,GOOG,97.5837592,NYSE,2020.12.0973
08:03:57.854,AAPL,77.5292066,NYSE,2020.12.0974
08:03:59.845,AAPL,1.77630705,NYSE,2020.12.0975
08:04:02.931,IBM,5.22883961,NYSE,2020.12.0976
08:04:03.831,IBM,62.4082307,NDQ,2020.12.0977
08:04:04.918,AAPL,24.4252648,NYSE,2020.12.0978
08:04:08.382,GOOG,93.5521865,NYSE,2020.12.0979
08:04:08.710,AAPL,24.1998051,NYSE,2020.12.0980
08:04:12.717,MSFT,62.4085028,NDQ,2020.12.0981
08:04:13.531,GOOG,91.5389185,NDQ,2020.12.0982
08:04:14.507,GOOG,84.1391034,NYSE,2020.12.0983
08:04:19.778,AAPL,67.4281112,NDQ,2020.12.0984
08:04:19.906,MSFT,58.5548364,NYSE,2020.12.0985
08:04:24.709,IBM,23.7148936,NDQ,2020.12.0986
08:04:25.448,AAPL,4.21807198,NDQ,2020.12.0987
08:04:33.909,MSFT,31.2194078,NYSE,2020.12.0988
08:04:42.136,AAPL,99.0144238,NDQ,2020.12.0989
08:04:51.872,GOOG,76.6089749,NDQ,2020.12.0990
08:04:59.519,IBM,87.2234674,NDQ,2020.12.0991
08:05:00.345,IBM,64.055622,NYSE,2020.12.0992
08:05:01.441,IBM,93.7144574,NYSE,2020.12.0993
08:05:07.607,GOOG,26.0380603,NYSE,2020.12.0994
08:05:07.613,GOOG,36.8132435,NYSE,2020.12.0995
08:05:08.932,AAPL,11.1802098,NYSE,2020.12.0996
08:05:09.759,GOOG,38.4279401,NYSE,2020.12.0997
08:05:12.248,AAPL,41.2195165,NDQ,2020.12.0998
08:05:12.517,IBM,30.8776426,NDQ,2020.12.0999
08:05:21.130,MSFT,83.9983396,NYSE,2020.12.09100
08:05:25.060,MSFT,43.4691468,NYSE,2020.12.09101
08:05:29.127,IBM,5.2434697,NDQ,2020.12.09102
08:05:35.900,GOOG,50.028629,NYSE,2020.12.09103
08:05:38.843,IBM,68.3410992,NDQ,2020.12.09104
08:05:39.206,IBM,29.0317903,NDQ,2020.12.09105
08:05:39.895,AAPL,99.3460341,NDQ,2020.12.09106
08:05:53.003,MSFT,16.3929546,NDQ,2020.12.09107
08:06:00.678,MSFT,71.0062675,NYSE,2020.12.09108
08:06:00.854,AAPL,2.29908321,NYSE,2020.12.09109
08:06:01.902,MSFT,93.8420023,NDQ,2020.12.09110
08:06:01.933,AAPL,29.6598047,NDQ,2020.12.09111
08:06:03.228,GOOG,98.3296575,NDQ,2020.12.09112
08:06:08.252,AAPL,47.5419517,NDQ,2020.12.09113
08:06:14.442,IBM,28.6077432,NDQ,2020.12.09114
08:06:18.724,AAPL,5.57308164,NYSE,2020.12.09115
08:06:18.749,AAPL,26.2516122,NYSE,2020.12.09116
08:06:19.256,GOOG,84.5217986,NYSE,2020.12.09117
08:06:21.281,IBM,89.5636091,NYSE,2020.12.09118
08:06:23.399,GOOG,1.79152254,NDQ,2020.12.09119
08:06:30.708,AAPL,76.1197987,NDQ,2020.12.09120
08:06:41.254,IBM,24.6994152,NYSE,2020.12.09121
08:06:45.919,AAPL,55.1255327,NDQ,2020.12.09122
08:06:46.543,IBM,45.8533916,NYSE,2020.12.09123
08:06:49.195,GOOG,58.1266339,NYSE,2020.12.09124
08:06:57.396,GOOG,60.2727139,NYSE,2020.12.09125
08:07:01.244,IBM,36.3719805,NYSE,2020.12.09126
08:07:01.936,MSFT,27.9392065,NYSE,2020.12.09127
08:07:05.777,AAPL,91.596166,NDQ,2020.12.09128
08:07:08.607,AAPL,8.28367181,NYSE,2020.12.09129
08:07:08.842,GOOG,46.3301391,NDQ,2020.12.09130
08:07:10.721,GOOG,31.6904204,NYSE,2020.12.09131
08:07:11.071,GOOG,53.5273026,NYSE,2020.12.09132
08:07:25.321,GOOG,31.8882302,NYSE,2020.12.09133
08:07:27.138,MSFT,90.9162435,NDQ,2020.12.09134
08:07:31.576,MSFT,51.5543011,NDQ,2020.12.09135
08:07:32.220,GOOG,26.8865566,NYSE,2020.12.09136
08:07:33.788,MSFT,77.1117017,NYSE,2020.12.09137
08:07:34.929,MSFT,5.49642385,NYSE,2020.12.09138
08:07:37.658,IBM,33.1013871,NDQ,2020.12.09139
08:07:43.699,IBM,9.94427665,NYSE,2020.12.09140
